user,Subject,text
AdentroStyle,Donald Trump," If Donald Trump is going to try to steal this election, here’s how he will do it—and how we can stop him. …"
yadira_di,Donald Trump,Donald Trump is a man without character. It’s why I wrote “A Warning”...and it’s why me &amp; my colleagues have spoken out…
carla8992,Donald Trump," .⁦⁩, a highly respected retired brigadier general who spent his career in the intelligence field, asks a hitherto u…"
vrscse2,Donald Trump,Donald Trump has gotten:-$885 million in subsidies for his real estate empire-$287 million of his debt canceled-A $72.9…
bo_ta_nicole,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
SharonQwltnut,Donald Trump," This will be Donald Trump and his party's eternal and historic shame. Their legacy is this, with all the economic Hell that…"
amy_arcade,Donald Trump,Wanted: assessment of why Bush-era war criminals are suddenly the darlings of the Rachel Maddow #Resistance-and-smart glasses…
bremat338,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
Kate17Kazoo,Donald Trump," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…"
StayHopeful16,Donald Trump,It’s 2:30 in the morning and Donald Trump is completely melting down right now  via
SurfChef1024,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
Joegravo,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via
stu0016,Donald Trump,The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
scooterdawg,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
AnneDayer,Donald Trump," Donald Trump and Republicans had a choice: Take charge of this virus and pass a relief bill, or push through a Supreme Co…"
KW46488973,Donald Trump,There’s a reason Donald Trump Jr. never pushes back on his cocaine usage
Christo42631462,Donald Trump,and why he thinks  has been a God send to the Democratic party
dens1984,Donald Trump,It is Halloween week so please listen and learn from Donald J Trump (link for shares below)
AthenaCornell,Donald Trump,NEW VIDEO: The U.S. is the oldest continuous democracy in the world. Trump is the first president in history to refuse…
smoofers,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
KayIAM65,Donald Trump," Donald Trump, who has financial interests in Turkey, won’t stand up to Erdogan. Ever.He even interfered in a DOJ inves…"
roybelly,Donald Trump," ""The reaction wasn’t surprising either. ... There was outrage. There was anger. And, worst of all for Nicklaus, there was gen…"
nazuzuwin,Donald Trump,Free Covid death Rally come one come all.” he is the cause of a deadly pandemic that kills hundred…
SlythSeeker,Donald Trump," Hundreds of political scientists fear that, if Donald Trump loses the election, he may encourage political violence.https:/…"
hvayou925,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
VTXGAL,Donald Trump," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…"
buckeye_don61,Donald Trump,Donald Trump Is Again Going to Win
ElectaWing,Donald Trump,At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
judysch32907283,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
zinn_tristan,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
Denis_Buchholz,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
audreyswh,Donald Trump,Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
CtheFirefly,Donald Trump,Whatever you say.
JrRobert94,Donald Trump,Here’s a message to Black and Latino men. Donald Trump DOES NOT care about you. Period. That goes for Lil’ Wayne aka We…
collinskj,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
KuifjeP,Donald Trump," COVID-19 deaths:United States: 225,000Population: 328.2 millionCOVID-19 deaths:Canada: 9,963Japan: 1,716Australia: 9…"
OKAYFINE_Music,Donald Trump,Imagine if they were such big tools they tried to make a tv show about the elusive Donald Tru…
jmssarno,Donald Trump,Let’s leave everything on the field. Let’s wake up on November 4 with no regrets. Let’s do everything we possibly can to defea…
ToddCurryTX,Donald Trump," Beyond the Supreme Court, not only has President Donald Trump appointed judges at a quicker pace than his predecessor, he’s…"
HinderTrump,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
CowLady12,Donald Trump," BREAKING:  Donald Trump just called the process of counting all the votes, ""stealing an election.""How can anyone suppo…"
kodabear13rd,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
PamMCaruso,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
acr810,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
He_Knew_,Donald Trump,Donald Trump should release his tax returns or shut up about corruption.
sursoe,Donald Trump,Democrat nightmare: The daily Rasmussen Reports poll that tracks black support for Donald Trump shows the president sitt…
ziyaziba,Donald Trump,This is the result of Donald Trump's immigration plan.
KayIAM65,Donald Trump," GDP rose last quarter, but visits to food banks haven’t slowed, and poverty has grown. We’re on track for the worst economic…"
DianeBowersDiDi,Donald Trump,Remember... it’s not just Donald Trump being voted out.... it’s his entire family and garbage administration that’ll be ki…
popparupp,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
WaynePBates,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
86GOPFascism,Donald Trump,But Trump Junior on Fox said it was down to nothing. Better call and grovel to Donald and get some ventilato…
FTS4LYF,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
The_MrsGlass,Donald Trump," Joe Biden gets aging Bon Jovi and CHER, President Donald Trump gets Lil Wayne."
Tearsighn,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
DBuggica,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
starshiptroopr,Donald Trump,Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
usa_shellym,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
miniclip8pool,Donald Trump,Americans are voting for Joe Biden and Kamala Harris. #VoteBidenHarris2020Americans are voting against t…
philipzaroo,Donald Trump,The normalization of relations between Sudan and Israel will improve regional security and unlock new opportunities for the…
Spudmaster,Donald Trump," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…"
CvDruhan,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
BostonSophie,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
LampleLuis,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
lolasmama06,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
Denis_Buchholz,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
Maggiem00848430,Donald Trump,“They lied to you about Donald Trump. They lied about Brett Kavanaugh. They lied about children in cages. Hell- they eve…
CowLady12,Donald Trump," We are going up on radio in small, African American communities in Florida – places that neither party pays much attention…"
WestLASuperMan,Donald Trump,Donald Trump was too afraid to respond back to the Diss King Eminem.Eminem really said truly factual things about…
haleykhorton,Donald Trump," Hundreds of political scientists fear that, if Donald Trump loses the election, he may encourage political violence.https:/…"
Cyclerosis,Donald Trump,The normalization of relations between Sudan and Israel will improve regional security and unlock new opportunities for the…
Lynnjoh16722095,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
GaryRobinette1,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
realryanpro,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
chaotickim,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
PierceAH66,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
LisaSwedenburg1,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
OutlawJosieWal3,Donald Trump,Pennsylvanians are tuning out Donald Trump's noise with their votes. This morning we passed 2.1 MILLION ballots return…
BFF808,Donald Trump,The pandemic has killed Americans and plenty of jobs. Donald Trump takes no accountability for this. Not everyone in oil…
lifeisgoodform,Donald Trump,Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
Ivgraced,Donald Trump," Wanted: smart, non-polemical assessment of emergence of Tucker Carlson, Joe Rogan, Glenn Greenwald, Donald Trump Jr., Matt T…"
RealMaryz,Donald Trump,Atlantic City has a warning for the nation: Donald Trump brings ruin and despairTrump looted and corrupted New Jersey…
Irishdragon7,Donald Trump,Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
2020Remove,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
Ryan_Br0thers,Donald Trump,Donald Trump is on track to become the worst jobs president in modern American history.
Punch_A_Nella,Donald Trump,All these celebrities rooting for Donald Trump.... and it’s quite alarming.
Julie_Haslett,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
JLCauvin,Donald Trump,It is Halloween week so please listen and learn from Donald J Trump (link for shares below)
D4_5t4Lk3r,Donald Trump,Donald Trump is not under audit.
miagrace728,Donald Trump,What has been Christian about donald trump's presidency?
fem2828,Donald Trump,"  you're not doing good... you're in league with the DEVIL himself, donald trump!    SHAME ON YOU!"
ssstarr14,Donald Trump,Philly DA is a bad ass. Warns Trump that his goon poll watchers will face swift consequences if they come to his city.…
TraceyC20373474,Donald Trump,The #1 reason to vote for Joe Biden is he's not Donald Trump.
imvzlan,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
BlueSkyVision38,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
Meemaw570,Donald Trump," Donald Trump cancelled his racist pep rally in NC because of wind. Trump is terrified of wind, weather and women. 😂 🤣 😂"
sbaker209,Donald Trump,CNN’s Brianna Keilar Delivers 7-Minute Takedown Of Donald Trump’s 1950s Worldview  via
JCason,Donald Trump,Joe Biden has been endorsed by 81 Nobel Prize recipients and nearly 500 General and Admirals.  Donald Trump has been endo…
e391615r,Donald Trump,"Trump threatened to withhold aid from Pa. as coronavirus cases, hospitalizations surge. Here’s what you need to kno… "
BarbB0925,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
thor2233,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
rob0349,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
crazycatlady714,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
TechmemeChatter,Donald Trump,‘It is currently unclear whether Facebook is giving Donald Trump an unfair advantage..but it is abundantly clear Facebo…
bobbygeorge413,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
Hadassah_Michal,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
JannieJo8,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
Seabass9099,Donald Trump,The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
ziyaziba,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
Cjac2Jeannine,Donald Trump,"  I don’t want Hunter Biden’s laptop. I want Donald Trump’s taxes, his medical records, Ivanka’s and Jared…"
coopcoop012,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
scooterdawg,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
usa_shellym,Donald Trump," I support Donald Trump, do you?"
thor2233,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…"
Lamar_001,Donald Trump,The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
1lisbongirl,Donald Trump,Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
adrianparedesg,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
fvckinashman,Donald Trump,"If you're shocked at  endorsing Trump, you haven't been paying attention to his life "
nakesha_horsey,Donald Trump,“This is an election between Donald Trump and democracy” -  #DefendDemocracy
Lovler2Lovler,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
RuleMayhem,Donald Trump,Atlantic City has a warning for the nation: Donald Trump brings ruin and despairTrump looted and corrupted New Jersey…
Frank_Schaeffer,Donald Trump,"Donald Trump Jr. says COVID deaths 'are almost nothing' and 'we've gotten control of the thing' on the very day 1,0… "
Arctic__char,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
kunkelKAG,Donald Trump,Lil Wayne has just endorsed Donald Trump.
LauraLAtwood,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
therailmaster,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
jaybopper44,Donald Trump,So many people have been telling me ... so many people I’ve lost count ... that their brothers died fro…
libertypewter,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
getreal2,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
abramovitzra,Donald Trump,Archbishop's Open Letter to President Donald Trump
mareb66297,Donald Trump," Lindsey Graham used to be independent, Harry Reid tells Mehdi, but ""he became a sycophant for Donald Trump, goes golfin…"
PacificPearll,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
CC_lovinglife,Donald Trump,We are going to Keep America Great Voting for President Donald J Trump Once Again 🇺🇲🇺🇲🇺🇲
karNYC56,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
FiDiNYer,Donald Trump,At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
AlexSElliot,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
oibc1988_n,Donald Trump,DONALD TRUMP FOR PRESIDENT 2020KEEP AMERICA 🇺🇸 GREAT 👍 FACTS CHECK..........
anniempg,Donald Trump," NEW: Closing ad from Republican Voters Against Trump, airing in swing states this weekend. Heartfelt testimonials from Rep…"
houndheavenTN,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
nmchapman,Donald Trump,“They lied to you about Donald Trump. They lied about Brett Kavanaugh. They lied about children in cages. Hell- they eve…
Imatq1,Donald Trump,It’s 2:30 in the morning and Donald Trump is completely melting down right now  via
pc1330,Donald Trump," Donald Trump and Cory Gardner failed Colorado on COVID-19. And in the middle of a pandemic, they're trying to take away y…"
PeterJosyph,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
stardustgina,Donald Trump," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
SGoddess13,Donald Trump,VOTE OUT DONALD TRUMP. VOTE!!!#JoeBiden #VoteBiden
jrbn10,Donald Trump," GDP rose last quarter, but visits to food banks haven’t slowed, and poverty has grown. We’re on track for the worst economic…"
JosiePeeps,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
cheryltaylor204,Donald Trump," .: “Christians, do not vote for Donald Trump. He's a cruel man who has failed America”.    Please share it…"
1MarcusbAnthony,Donald Trump,8 reasons to vote for Donald Trump  via  🤔
BDAinVA,Donald Trump,This story holy shit!
KaleyCiluffo,Donald Trump,Please tell me y’all aren’t taking Lil Wayne seriously! Donald Trump said that he loves ❤️ the uneducated this is not surp…
HeriHest,Donald Trump,This is the result of Donald Trump's immigration plan.
peper77,Donald Trump," Like Donald Trump,  has lied to its audience about this virus for nine months. They all have blood on their hands."
bp1952,Donald Trump," Don Jr. says COVID deaths are ""almost nothing"" on day 1,000-plus die  "
DennisR38458475,Donald Trump," ""Why in the world is Jack Nicklaus voting for Donald Trump considered divisive? Because the far left wing sports media only al…"
sojourner_11,Donald Trump,Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
Rosa1234tejana,Donald Trump,Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
RichDamm,Donald Trump,"The flu which is less dangerous than COVID had a 6% mortality rate last year. As of today, COVID 19, the mortality… "
njtxgal,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
mtomecko,Donald Trump," According to the Associated Press, Hackers have stolen $2.3 million from the Wisconsin Republican Party’s account that w…"
Airistarose,Donald Trump,Donald Trump has desecrated the values that make America a beacon to the world. is a good man who would rest…
laurasword,Donald Trump," Activists in Michigan say Yemeni-American community favours Joe Biden over Donald Trump, who imposed a travel ban on t…"
mtomecko,Donald Trump," According to the Associated Press, Hackers have stolen $2.3 million from the Wisconsin Republican Party’s account that w…"
Terminator9010,Donald Trump,Donald Trump is on track to become the worst jobs president in modern American history.
IanWeber239,Donald Trump," NEW: Rapper Lil Wayne meets with Pres. Donald Trump on the administration's proposed plan for Black America: ""He listened to what…"
imMdotpolo,Donald Trump,Donald J. Trump: Help free another Black U​.​S Veteranwho was wrongfully sentenced to death in Kuwait - Sign the P…
jsscheff,Donald Trump,At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
Dayvidhando,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
FirenzeMike,Donald Trump,Donald Trump will be the first President since Herbert Hoover to have fewer jobs in his administration towards the conclusion…
emiluvi,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
christophcrews,Donald Trump," Donald Trump Jr. repeatedly says that American deaths from covid have nearly disappeared.""If you look at my Instagram…"
crpswarrior1,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
satmandu,Donald Trump,There is no greater supporter of Donald Trump in the world than Mark Zuckerberg / .No one has done more to elect…
Bigdawg934,Donald Trump,After reading this BS- I’m proud to support Donald J Trump!
RealCMFallick,Donald Trump," No one deserves a more thorough drubbing on Election Day than Donald Trump.Well, maybe Lindsey Graham does,&amp; Mitch McC…"
tonymastria,Donald Trump,Donald Trump is on track to become the worst jobs president in modern American history.
BillGuess1,Donald Trump,Tomorrow is Halloween and Donald Trump is just warming up today.After holding #SuperSpreader campaign rallies so he…
Airistarose,Donald Trump," COVID-19 deaths:United States: 225,000Population: 328.2 millionCOVID-19 deaths:Canada: 9,963Japan: 1,716Australia: 9…"
Tdusty25,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
RealJuicyshade,Donald Trump," I did NOT fight cancer twice and win, battle Lupus every day to live through 4 more years of Donald Trump.He will DEST…"
LCR1130,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
CindianneD,Donald Trump,"  228,000+ Americans dead from Covid, many because Trump ignored, dismissed ""soon it will go away"", mocked wea…"
queenoftwilight,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via
littlebirdie789,Donald Trump,Civil rights leader and Christian activist Rev. William Owens endorsed Donald Trump for president. …
TaraDevi108,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
JLengfelder,Donald Trump," We need 3,000 retweets on this by 11 AM Thursday: we are only 24.8K followers away from hitting HALF A MILLION FOLLOWERS.…"
KidAbo17,Donald Trump,#FridayMotivation to #vote🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸Fauci in.          Atlas out.“He wants to listen to the scie…
EllenNe41668013,Donald Trump,83 million people will vote for Joe Biden. 69 million will vote for Donald Trump. Joe Biden will be the next Preside…
RedWolvesWin,Donald Trump,At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
Dilecta59,Donald Trump,The great green god: Making Money. Once they crack the code on ho…
cbradfordtucson,Donald Trump,At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
RealJuicyshade,Donald Trump,Philly DA is a bad ass. Warns Trump that his goon poll watchers will face swift consequences if they come to his city.…
fascistsuck,Donald Trump,I’m thinking of hiring Martin Aspen to do an intelligence report on the GOP and Donald Trump. My guess is that he…
PaxNostrum,Donald Trump,Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
asanza2420,Donald Trump," So little binds Trump Jews with their progressive cousins that we are on the verge of two Jewish peoples, Anshel Pfeffer wr…"
Hernesman_DE,Donald Trump,Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
bluewavecmn,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
DonnaCalvin1,Donald Trump,Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via
jmac195111,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
tiffmarie71,Donald Trump,Lil Jon has the BEST response when asked to support Donald Trump's re-election like Lil Wayne and Lil Pump.  …
CathyG214,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
123LisaAnn,Donald Trump," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
labsoftnews,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Fot_roca,Donald Trump," Hundreds of political scientists fear that, if Donald Trump loses the election, he may encourage political violence.https:/…"
kladwood,Donald Trump," ...Still reporter has asked Donald Trump on camera why his top advisor, Stephen Miller, is flashing a WHITE POWER sign in t…"
NoFoxnewstoday,Donald Trump,Atlantic City has a warning for the nation: Donald Trump brings ruin and despair
jwvan,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
stardustgina,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
Shel_Joy,Donald Trump,The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
tonyseig,Donald Trump,You even divided the firefighters. Good job.
SmithChick1201,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
caryky,Donald Trump,"A thousand deaths in one day is ""almost nothing""?You're an idiot or a liar. Or both."
leestephens71,Donald Trump," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? "
Panetz3,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
MelieInThe210,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
zandoor2000,Donald Trump," Dear parents,I want you to imagine Donald Trump ripping your children from your arms, locking them in cages, sending you…"
Gregory10343158,Donald Trump," The same people who are outraged at AOC for slipping into a borrowed $14,000 outfit for a Vanity Fair photo shoot are…"
Jeffere00359574,Donald Trump,In case you’re wondering what Malcolm would be saying about these idiotic black rappers aligning themselves with donald tru…
maineacbagboy1,Donald Trump," Oct 29, 2020 - Morning Reader Data Points: ""If the presidential election was held today, would you vote for Donald Tr…"
MonicaLogallmon,Donald Trump,Dear  You have 1 million followers.You should retweet the photos of Donald Trump's sons killing innocent animals o…
enduringdark1,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
LMHinkey,Donald Trump,"Alan Alda Speaks Out Against Donald Trump’s Willful Denial Of Science In The COVID-Era: “At This Moment, We Are All… "
24baseballReed,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
AuthorKimberley,Donald Trump,"""I just start kissing them. It's like a magnet. Just kiss. I don't even wait. And when you're a star, they let you… "
thor2233,Donald Trump,#BidenHarrisToSaveAmerica #Vote Column: Trump's forces have gamed out nightmare election scenarios. Votes can stop them  ht…
meterv1,Donald Trump,"  I don’t want Hunter Biden’s laptop. I want Donald Trump’s taxes, his medical records, Ivanka’s and Jared…"
victory1261,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
UK_BleedinBlue,Donald Trump," Donald Trump Jr. said covid-19 deaths are at ‘almost nothing.’ The virus killed more than 1,000 Americans the same day.…"
CzarnetzkiAnn,Donald Trump,NEW VIDEO! #PleaseSaveTheseChildren  If you don't have a bright line for crimes against children you don't have a line.…
Hi5HANK,Donald Trump," ""Why in the world is Jack Nicklaus voting for Donald Trump considered divisive? Because the far left wing sports media only al…"
sonnyb9,Donald Trump,1000+ Deaths Are ‘Almost Nothing’ to Don Jr.  via
RichardChaby,Donald Trump,At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
KristyHoeksema,Donald Trump,At the precise moment Donald Trump was impeached for expressing concern about potential Hunter Biden corruption in Ukraine…
TLangley99,Donald Trump," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…"
PopCultureMods,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
Amaliada,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
we3rive,Donald Trump,I BET THAT WHEN SLEEPY JOE BIDEN GOES TO VOTE HE BY MISTAKE WILL VOTE FOR DONALD J TRUMP
LuAnne133,Donald Trump," .: “I believe in science. Donald Trump doesn't. It's that simple, folks.”"
wethepatriots11,Donald Trump,4 days until best President Donald J Trump is re-elected in a landslide!
IanWeber239,Donald Trump," Hackers stole $2.3 million from the Wisconsin Republican Party intended for President Donald Trump's reelection effort, state part…"
JohnGorman18,Donald Trump," Donald Trump Jr.: ""Why aren't they talking about deaths? Oh, oh, because the number is almost nothing because we've gott…"
MaryStell11,Donald Trump," Now that NBC has exposed the bogus Hunter Biden smears and discovered that a fake man named ""Martin Aspen"" was behind it…"
